# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ILQFULOCMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,17
# x,y,z,u,w
1.979596792832384988e+00, -2.111226654175829955e-17, -3.859294582346924352e-01, 8.000000000000000444e-01, 1.000000000000000000e+00
1.976731796264615149e+00, -2.181995934065802945e-01, -3.927219878127552466e-01, 8.000000000000000444e-01, 1.250000000000000000e+00
1.970850443392487605e+00, -4.301553826787574697e-01, -3.857027203463021525e-01, 8.000000000000000444e-01, 1.500000000000000000e+00
1.965550419958602246e+00, -4.999261210472208394e-01, -2.074332052829048478e-01, 8.000000000000000444e-01, 1.750000000000000000e+00
1.963333806017479866e+00, -5.452377736320526136e-01, -5.280673944997457939e-18, 8.000000000000000444e-01, 2.000000000000000000e+00
1.965550419958602246e+00, -5.392078330422431787e-01, 1.638372601604935475e-01, 8.000000000000000444e-01, 2.250000000000000000e+00
1.970850443392487605e+00, -4.553996654100087027e-01, 2.923411281880201606e-01, 8.000000000000000444e-01, 2.500000000000000000e+00
1.976731796264615149e+00, -2.663328146428722287e-01, 3.861140499828845662e-01, 8.000000000000000444e-01, 2.750000000000000000e+00
1.979596792832385210e+00, 7.723214739492282584e-18, 3.859294582346924352e-01, 8.000000000000000444e-01, 3.000000000000000000e+00
1.976731796264615149e+00, 2.663328146428721732e-01, 3.861140499828845662e-01, 8.000000000000000444e-01, 3.250000000000000000e+00
1.970850443392487605e+00, 4.553996654100088137e-01, 2.923411281880201606e-01, 8.000000000000000444e-01, 3.500000000000000000e+00
1.965550419958602468e+00, 5.392078330422432897e-01, 1.638372601604935475e-01, 8.000000000000000444e-01, 3.750000000000000000e+00
1.963333806017480976e+00, 5.452377736320526136e-01, 0.000000000000000000e+00, 8.000000000000000444e-01, 4.000000000000000000e+00
2.500000000000000000e+00, 5.600000000000000533e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
2.500000000000000000e+00, 5.199991999999999948e-01, -2.250000000000000611e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
2.500000000000000000e+00, 4.623897648457009346e-01, -4.289847718626063622e-01, 1.000000000000000000e+00, 5.000000000000000000e-01
2.499999999999999556e+00, 2.399991999999998848e-01, -4.499999999999999556e-01, 1.000000000000000000e+00, 7.500000000000000000e-01
2.500000000000000444e+00, -4.108650548026102925e-33, -4.500000000000000111e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
2.500000000000000000e+00, -2.399991999999999959e-01, -4.500000000000000111e-01, 1.000000000000000000e+00, 1.250000000000000000e+00
2.500000000000000000e+00, -4.623897648457009346e-01, -4.289847718626063067e-01, 1.000000000000000000e+00, 1.500000000000000000e+00
2.499999999999999556e+00, -5.199991999999998837e-01, -2.250000000000000611e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
2.500000000000000444e+00, -5.600000000000000533e-01, 1.604941620322696455e-35, 1.000000000000000000e+00, 2.000000000000000000e+00
2.499999999999999556e+00, -5.638403964230159771e-01, 1.763438112473088848e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
2.500000000000000000e+00, -4.905641875368294547e-01, 3.247865663288094784e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
2.500000000000000000e+00, -2.937193129869331565e-01, 4.426250693863051366e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
2.500000000000000000e+00, 0.000000000000000000e+00, 4.500000000000000111e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.500000000000000000e+00, 2.937193129869331010e-01, 4.426250693863051366e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
2.500000000000000000e+00, 4.905641875368296767e-01, 3.247865663288094784e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
2.499999999999999556e+00, 5.638403964230159771e-01, 1.763438112473088293e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
2.499999999999999556e+00, 5.600000000000000533e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.000136127998693780e+00, 5.667600000000000415e-01, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
3.000075950281406723e+00, 5.308342005110744388e-01, -2.306209760655940078e-01, 1.199999999999999956e+00, 2.500000000000000000e-01
