   xfusel    yspan       cp      dMACH
   0.777785  0.409781 -0.926508  0.512129
   0.817197  0.409781 -1.152592  0.681913
   0.853553  0.409781 -1.168135  0.694929
   0.886505  0.409781 -1.090907  0.632191
   0.915735  0.409781 -0.984569  0.552726
   0.940961  0.409781 -0.881783  0.482004
   0.961940  0.409781 -0.796418  0.426928
   0.978470  0.409781 -0.732094  0.387262
   0.990393  0.409781 -0.688100  0.360929
   0.997592  0.409781 -0.662664  0.345973
   1.000000  0.409781 -0.654352  0.341127
   0.000000  0.429531 -0.564743  0.290045
   0.002408  0.429531 -0.571468  0.293809
   0.009607  0.429531 -0.592059  0.305400
   0.021530  0.429531 -0.627700  0.325715
   0.038060  0.429531 -0.680103  0.356206
   0.059039  0.429531 -0.750740  0.398612
   0.084265  0.429531 -0.839115  0.454102
   0.113495  0.429531 -0.939556  0.521100
   0.146447  0.429531 -1.036654  0.590750
   0.182803  0.429531 -1.101060  0.640174
   0.222215  0.429531 -1.089695  0.631243
   0.264302  0.429531 -0.958449  0.534242
   0.308658  0.429531 -0.706951  0.372139
   0.354858  0.429531 -0.422519  0.212719
   0.402455  0.429531 -0.195085  0.095984
   0.450991  0.429531 -0.025613  0.012472
   0.500000  0.429531  0.129324 -0.062697
   0.549009  0.429531  0.333309 -0.161972
   0.597545  0.429531  0.625089 -0.310987
   0.645142  0.429531  0.814508 -0.419431
   0.691342  0.429531  0.490830 -0.240728
   0.735698  0.429531 -0.218878  0.107896
   0.777785  0.429531 -0.763839  0.406656
   0.817197  0.429531 -0.999920  0.563765
   0.853553  0.429531 -1.039883  0.593162
   0.886505  0.429531 -0.987195  0.554604
   0.915735  0.429531 -0.902184  0.495628
   0.940961  0.429531 -0.816193  0.439424
   0.961940  0.429531 -0.743038  0.393910
   0.978470  0.429531 -0.687040  0.360302
   0.990393  0.429531 -0.648325  0.337624
   0.997592  0.429531 -0.625773  0.324608
   1.000000  0.429531 -0.618380  0.320371
   0.000000  0.449281 -0.537710  0.275022
   0.002408  0.449281 -0.543780  0.278381
   0.009607  0.449281 -0.562319  0.288691
   0.021530  0.449281 -0.594238  0.306633
   0.038060  0.449281 -0.640770  0.333249
   0.059039  0.449281 -0.702747  0.369629
   0.084265  0.449281 -0.779049  0.416073
   0.113495  0.449281 -0.863804  0.470151
   0.146447  0.449281 -0.942320  0.523010
   0.182803  0.449281 -0.987478  0.554807
   0.222215  0.449281 -0.960147  0.535432
   0.264302  0.449281 -0.822493  0.443437
   0.308658  0.449281 -0.577547  0.297220
   0.354858  0.449281 -0.301252  0.149622
   0.402455  0.449281 -0.073500  0.035874
   0.450991  0.449281  0.099480 -0.048250
   0.500000  0.449281  0.256411 -0.124348
   0.549009  0.449281  0.448500 -0.219265
   0.597545  0.449281  0.686109 -0.344415
   0.645142  0.449281  0.794054 -0.406948
   0.691342  0.449281  0.480867 -0.235652
   0.735698  0.449281 -0.131049  0.064182
   0.777785  0.449281 -0.623554  0.323335
   0.817197  0.449281 -0.861175  0.468430
   0.853553  0.449281 -0.920555  0.508064
   0.886505  0.449281 -0.889597  0.487200
   0.915735  0.449281 -0.823824  0.444288
   0.940961  0.449281 -0.753103  0.400059
   0.961940  0.449281 -0.691129  0.362723
   0.978470  0.449281 -0.642812  0.334429
   0.990393  0.449281 -0.609006  0.315019
