Time (s),Delta_Alpha (deg)
1.666769,0.110434
1.668739,0.109499
1.670709,0.108564
1.672679,0.107629
1.674648,0.106694
1.676618,0.105759
1.678588,0.104824
1.680558,0.103889
1.682528,0.102954
1.684497,0.102019
1.686467,0.101084
1.688437,0.100149
1.690407,0.099214
1.692376,0.098279
1.694346,0.097344
1.696316,0.096409
1.698286,0.095474
1.700256,0.094539
1.702225,0.093604
1.704195,0.092669
1.706165,0.091734
1.708135,0.090799
1.710104,0.089864
1.712074,0.088929
1.714044,0.087994
1.716014,0.087059
1.717984,0.086124
1.719953,0.085188
1.721923,0.084253
1.723893,0.083318
1.725863,0.082383
1.727832,0.081448
1.729802,0.080513
1.731772,0.079578
1.733742,0.078643
1.735712,0.077708
1.737681,0.076773
1.739651,0.075838
1.741621,0.074903
1.743591,0.073968
1.745560,0.073033
1.747530,0.072098
1.749500,0.071163
1.751470,0.070228
1.753440,0.069293
1.755409,0.068650
1.757379,0.068366
1.759349,0.068083
1.761319,0.067799
1.763288,0.067516
1.765258,0.067233
1.767228,0.066949
1.769198,0.066666
1.771168,0.066382
1.773137,0.066099
1.775107,0.065815
1.777077,0.065532
1.779047,0.065248
1.781016,0.064965
1.782986,0.064682
1.784956,0.064398
1.786926,0.064115
1.788896,0.063831
1.790865,0.063548
1.792835,0.063264
1.794805,0.062981
1.796775,0.062698
1.798744,0.062414
1.800714,0.062131
1.802684,0.061847
1.804654,0.061564
1.806624,0.061280
1.808593,0.060997
1.810563,0.060713
1.812533,0.060430
1.814503,0.060147
1.816472,0.059863
1.818442,0.059580
1.820412,0.059296
1.822382,0.059013
1.824352,0.058729
1.826321,0.058446
1.828291,0.058162
1.830261,0.057879
1.832231,0.057596
1.834200,0.057312
1.836170,0.057029
1.838140,0.056745
1.840110,0.056462
1.842080,0.056178
1.844049,0.055895
1.846019,0.055611
1.847989,0.055328
1.849959,0.055045
1.851928,0.054761
1.853898,0.054478
1.855868,0.054194
1.857838,0.053911
1.859807,0.053627
1.861777,0.053344
1.863747,0.053060
1.865717,0.052777
1.867687,0.052494
1.869656,0.052210
1.871626,0.051927
1.873596,0.051643
1.875566,0.051360
1.877535,0.051076
1.879505,0.050793
1.881475,0.050510
1.883445,0.050226
1.885415,0.049943
1.887384,0.049659
1.889354,0.049376
1.891324,0.049092
1.893294,0.048809
1.895263,0.048525
1.897233,0.048242
1.899203,0.047959
1.901173,0.047675
1.903143,0.047392
1.905112,0.047108
1.907082,0.046825
1.909052,0.046541
1.911022,0.046258
1.912991,0.045974
1.914961,0.045691
1.916931,0.045408
1.918901,0.045124
1.920871,0.044841
1.922840,0.044557
1.924810,0.044274
1.926780,0.043990
1.928750,0.043707
1.930719,0.043423
1.932689,0.043140
1.934659,0.042857
1.936629,0.042573
1.938599,0.042290
1.940568,0.042006
1.942538,0.041723
1.944508,0.041439
1.946478,0.041156
1.948447,0.040873
1.950417,0.040589
1.952387,0.040306
1.954357,0.040022
1.956327,0.039739
1.958296,0.039455
1.960266,0.039172
1.962236,0.038888
1.964206,0.038605
1.966175,0.038322
1.968145,0.038038
1.970115,0.037755
1.972085,0.037471
1.974055,0.037188
1.976024,0.036904
1.977994,0.036621
1.979964,0.036337
1.981934,0.036054
1.983903,0.035771
